epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,13245.6,0.36741,0.44862,0.97194,0.83368,0.89456,0.93272,0.92735,0.21061,0.45309,0.75372,0.000487014,0.000487014,0.000487014
145,13337.4,0.36882,0.44773,0.97717,0.81496,0.94685,0.94349,0.93646,0.21527,0.39776,0.75647,0.000478762,0.000478762,0.000478762
146,13429.2,0.36514,0.42928,0.96469,0.82638,0.93104,0.94342,0.9363,0.21477,0.38954,0.76035,0.000470511,0.000470511,0.000470511
147,13521.2,0.37415,0.44517,0.97581,0.84326,0.93615,0.94067,0.93607,0.21485,0.39299,0.76011,0.000462259,0.000462259,0.000462259
148,13613.1,0.36674,0.43223,0.97214,0.85322,0.94516,0.94772,0.93647,0.21607,0.40993,0.76787,0.000454007,0.000454007,0.000454007
149,13704.9,0.37722,0.45629,0.98735,0.82785,0.9766,0.94914,0.93722,0.21851,0.37116,0.76182,0.000445756,0.000445756,0.000445756
150,13796.9,0.36723,0.43775,0.97809,0.84787,0.94068,0.95018,0.94123,0.21424,0.3899,0.75563,0.000437504,0.000437504,0.000437504
151,13889.7,0.37472,0.43421,0.97202,0.83276,0.93359,0.93307,0.92524,0.21825,0.44425,0.7585,0.000429253,0.000429253,0.000429253
152,13981.7,0.36754,0.44211,0.97357,0.87019,0.89758,0.9274,0.91948,0.21531,0.43643,0.76368,0.000421001,0.000421001,0.000421001
153,14073.6,0.36723,0.43258,0.97529,0.82038,0.94617,0.93136,0.92562,0.21309,0.45116,0.76071,0.000412749,0.000412749,0.000412749
154,14165.5,0.36278,0.42337,0.97155,0.84163,0.93786,0.93717,0.93071,0.20889,0.42293,0.75711,0.000404498,0.000404498,0.000404498
155,14257.4,0.37072,0.42898,0.97592,0.90958,0.89632,0.9457,0.93872,0.21748,0.4624,0.76453,0.000396246,0.000396246,0.000396246
156,14349.3,0.35182,0.41489,0.96769,0.90611,0.9097,0.94288,0.93211,0.21493,0.36472,0.76475,0.000387994,0.000387994,0.000387994
157,14441.1,0.35818,0.40373,0.9725,0.89512,0.89483,0.93445,0.926,0.21934,0.41897,0.76356,0.000379743,0.000379743,0.000379743
158,14533.1,0.36001,0.40853,0.97032,0.8334,0.93041,0.94293,0.93881,0.21313,0.39775,0.75602,0.000371491,0.000371491,0.000371491
159,14625,0.37044,0.40625,0.97848,0.85132,0.94304,0.94126,0.93475,0.20848,0.39888,0.75408,0.000363239,0.000363239,0.000363239
160,14716.8,0.35505,0.39869,0.96941,0.83835,0.90696,0.93201,0.92915,0.20945,0.44646,0.7512,0.000354988,0.000354988,0.000354988
161,14808.7,0.35489,0.39716,0.96551,0.88798,0.9048,0.94693,0.93934,0.21363,0.40808,0.7569,0.000346736,0.000346736,0.000346736
162,14900.7,0.35494,0.40175,0.96855,0.87784,0.83506,0.92879,0.92213,0.21273,0.49056,0.75377,0.000338484,0.000338484,0.000338484
163,14992.5,0.34412,0.4012,0.95945,0.85384,0.90456,0.93613,0.93052,0.21324,0.4515,0.75658,0.000330233,0.000330233,0.000330233
164,15084.4,0.34472,0.39227,0.9658,0.85158,0.93743,0.94,0.93317,0.21216,0.40275,0.75751,0.000321981,0.000321981,0.000321981
165,15176.2,0.3482,0.3845,0.97127,0.86858,0.91199,0.94729,0.94349,0.20924,0.38435,0.75291,0.000313729,0.000313729,0.000313729
166,15268.4,0.34894,0.38183,0.96498,0.84456,0.94402,0.94041,0.93588,0.21204,0.39282,0.75845,0.000305478,0.000305478,0.000305478
167,15360.3,0.34868,0.39069,0.96936,0.85183,0.93117,0.93856,0.93319,0.21494,0.38874,0.7572,0.000297226,0.000297226,0.000297226
168,15452.2,0.34898,0.38362,0.96185,0.87822,0.91806,0.9394,0.93473,0.20896,0.39692,0.75213,0.000288974,0.000288974,0.000288974
169,15544.1,0.34373,0.37381,0.96313,0.88451,0.91806,0.94464,0.93947,0.20955,0.35985,0.75166,0.000280723,0.000280723,0.000280723
170,15636,0.35221,0.38187,0.9684,0.9074,0.90844,0.94517,0.93962,0.20455,0.34702,0.74833,0.000272471,0.000272471,0.000272471
171,15728.8,0.20439,0.24212,0.86313,0.89193,0.87289,0.94211,0.93872,0.2022,0.39168,0.74651,0.00026422,0.00026422,0.00026422
172,15820.8,0.19888,0.24006,0.85945,0.89241,0.91418,0.94739,0.94249,0.20056,0.37147,0.7457,0.000255968,0.000255968,0.000255968
173,15912.7,0.19948,0.21472,0.8609,0.84112,0.93066,0.9468,0.94087,0.1971,0.39206,0.74299,0.000247716,0.000247716,0.000247716
174,16004.6,0.20134,0.21059,0.86112,0.85386,0.92506,0.94087,0.93401,0.20112,0.39306,0.74976,0.000239465,0.000239465,0.000239465
175,16096.5,0.19671,0.23595,0.85367,0.89884,0.87825,0.93693,0.92995,0.20389,0.44014,0.76148,0.000231213,0.000231213,0.000231213
176,16189.6,0.18978,0.19048,0.85684,0.89432,0.87498,0.93414,0.92762,0.19815,0.4111,0.75879,0.000222961,0.000222961,0.000222961
177,16281.6,0.19051,0.19928,0.84919,0.88598,0.89169,0.9408,0.93387,0.19275,0.43938,0.7442,0.00021471,0.00021471,0.00021471
